iter	Passed	Remaining
0	254	2548931
1	565	2824984
2	866	2887580
3	1128	2819128
4	1404	2807378
5	1655	2757612
6	1918	2738540
7	2209	2759334
8	2484	2757589
9	2765	2762292
10	3029	2750824
11	3318	2762117
12	3598	2764754
13	3861	2754472
14	4128	2748404
15	4411	2752908
16	4683	2750074
17	4943	2741438
18	5221	2743019
19	5507	2748470
20	5798	2755337
21	6054	2746004
22	6334	2747894
23	6642	2761195
24	6884	2746834
25	7161	2747359
26	7426	2743156
27	7693	2739910
28	7983	2744917
29	8270	2748667
30	8558	2752265
31	8834	2751838
32	9095	2747149
33	9349	2740482
34	9629	2741774
35	9911	2743315
36	10170	2738511
37	10416	2730817
38	10668	2724783
39	10924	2720262
40	11233	2728652
41	11464	2718292
42	11711	2711887
43	12002	2715925
44	12297	2720588
45	12576	2721456
46	12848	2720846
47	13105	2717198
48	13395	2720371
49	13661	2718582
50	13909	2713537
51	14195	2715749
52	14496	2720780
53	14781	2722464
54	15012	2714609
55	15266	2710906
56	15570	2716170
57	15859	2718480
58	16159	2722794
59	16425	2721200
60	16679	2717586
61	16988	2723147
62	17265	2723273
63	17561	2726424
64	17834	2725950
65	18173	2735410
66	18412	2729754
67	18735	2736428
68	18993	2733726
69	19305	2738643
70	19573	2737228
71	19978	2754826
72	20344	2766577
73	20667	2772288
74	20946	2771916
75	21255	2775522
76	21586	2781841
77	21926	2789137
78	22218	2790211
79	22514	2791783
80	22849	2798043
81	23144	2799354
82	23442	2800982
83	23740	2802457
84	24037	2803893
85	24293	2800528
86	24609	2804012
87	24884	2802920
88	25179	2803997
89	25461	2803627
90	25763	2805358
91	26070	2807634
92	26363	2808424
93	26677	2811310
94	26982	2813324
95	27307	2817173
96	27579	2815694
97	27849	2813965
98	28115	2811843
99	28427	2814367
100	28721	2815002
101	29041	2818162
102	29381	2823179
103	29670	2823287
104	29956	2823075
105	30252	2823716
106	30533	2823067
107	30890	2829302
108	31197	2830961
109	31481	2830513
110	31779	2831248
111	32084	2832616
112	32379	2833068
113	32704	2836087
114	33024	2838688
115	33291	2836639
116	33591	2837444
117	33898	2838846
118	34162	2836608
119	34428	2834621
120	34683	2831705
121	34969	2831366
122	35329	2837000
123	35601	2835460
124	35868	2833590
125	36180	2835324
126	36462	2834631
127	36714	2831625
128	36983	2829966
129	37315	2833102
130	37594	2832204
131	37820	2827363
132	38113	2827583
133	38370	2825096
134	38655	2824730
135	38931	2823666
136	39197	2821904
137	39461	2820070
138	39719	2817787
139	39972	2815218
140	40249	2814318
141	40539	2814378
142	40819	2813722
143	41136	2815581
144	41386	2812879
145	41722	2816002
146	42003	2815356
147	42283	2814732
148	42565	2814197
149	42842	2813336
150	43171	2815871
151	43475	2816761
152	43741	2815208
153	44023	2814642
154	44279	2812453
155	44573	2812727
156	44879	2813671
157	45161	2813147
158	45387	2809188
159	45674	2809010
160	45942	2807602
161	46190	2805074
162	46485	2805409
163	46783	2805860
164	47048	2804356
165	47314	2802947
166	47594	2802401
167	47890	2802760
168	48139	2800336
169	48394	2798320
170	48658	2796885
171	48894	2793785
172	49147	2791759
173	49376	2788376
174	49645	2787221
175	49901	2785435
176	50251	2788829
177	50506	2786939
178	50787	2786528
179	51065	2785903
180	51349	2785643
181	51601	2783626
182	51887	2783474
183	52181	2783771
184	52489	2784787
185	52756	2783597
186	53028	2782744
187	53297	2781652
188	53547	2779666
189	53779	2776714
190	54062	2776413
191	54324	2775052
192	54595	2774170
193	54859	2772942
194	55089	2769988
195	55349	2768588
196	55607	2767089
197	55882	2766490
198	56140	2764983
199	56381	2762678
200	56693	2763866
201	57014	2765471
202	57242	2762603
203	57482	2760283
204	57745	2759130
205	57979	2756562
206	58260	2756269
207	58573	2757476
208	58853	2757090
209	59117	2756016
210	59421	2756785
211	59679	2755397
212	59938	2754067
213	60197	2752747
214	60471	2752147
215	60781	2753170
216	61044	2752086
217	61294	2750362
218	61562	2749491
219	61860	2749980
220	62150	2750068
221	62397	2748318
222	62656	2747057
223	62918	2745940
224	63209	2746099
225	63463	2744655
226	63735	2743989
227	64059	2745557
228	64351	2745775
229	64630	2745386
230	64931	2745940
231	65169	2743853
232	65460	2743999
233	65701	2742054
234	65961	2740903
